award_id,agency,firm_name,firm_state,award_amount,award_date,award_year,phase,topic_code,primary_cet,primary_score,classification,supporting_cet_1,supporting_score_1,supporting_cet_2,supporting_score_2,text_length,has_abstract,has_solicitation
5385,NSF,Npi,UT,40000.0,1987-07-01,1987,Other,UNKNOWN,artificial_intelligence,52.960027989557,Medium,biotechnology,42.61210476782213,advanced_materials,3.255492076473033,1563,True,False
0740359,NSF,MVSystems LLC,CO,99624.0,2008-07-01,2008,Other,AM,biotechnology,38.56634427932481,Low,artificial_intelligence,23.92956746432008,advanced_materials,20.88260854580265,2498,True,True
0338951,NSF,"TECHNEST, INC.",MD,100000.0,2004-07-01,2004,Other,UNKNOWN,artificial_intelligence,85.9180802774678,High,biotechnology,9.932705549729171,data_analytics,1.9036105492565287,1526,True,False
17364,NSF,"Neos Technolgies, Inc.",FL,49995.0,1992-07-01,1992,Other,UNKNOWN,artificial_intelligence,75.04919758766879,High,biotechnology,13.206157914814487,semiconductors,8.709522991810466,1153,True,False
21579,NSF,"ENERGY CONVERSION DEVICES, INC.",MI,50000.0,1993-07-01,1993,Other,UNKNOWN,artificial_intelligence,68.50001833780055,Medium,biotechnology,16.83452759588041,semiconductors,6.697059643026036,801,True,False
0339360,NSF,"Mesa Analytics & Computing, LLC",NM,499956.0,2005-07-01,2005,Other,UNKNOWN,artificial_intelligence,84.67916302354718,High,biotechnology,9.55090607105884,data_analytics,4.016532332502544,2823,True,False
14260,NSF,American Research Corporation of Virginia,VA,50000.0,1991-07-01,1991,Other,UNKNOWN,artificial_intelligence,73.61657126397415,High,advanced_materials,17.362212674930802,biotechnology,7.452681681197178,1861,True,False
0420147,NSF,SYNKERA TECHNOLOGIES INC,CO,422292.0,2006-07-01,2006,Other,AM,artificial_intelligence,52.23948758809877,Medium,biotechnology,37.15548252003383,advanced_materials,8.305020703744244,1190,True,True
2651,NSF,Jbf Associates Inc.,TN,40000.0,1985-07-01,1985,Other,UNKNOWN,artificial_intelligence,73.78455292156977,High,data_analytics,22.90850955460576,biotechnology,1.9512282453292233,1619,True,False
2608,NSF,Axiomatix,CA,39000.0,1985-07-01,1985,Other,UNKNOWN,artificial_intelligence,85.70352229351136,High,biotechnology,9.594269172050735,advanced_materials,2.666560694887404,1409,True,False
2669,NSF,Npi,UT,40000.0,1985-07-01,1985,Other,UNKNOWN,artificial_intelligence,60.33478109675451,Medium,biotechnology,29.37820990598215,advanced_materials,9.02960669213328,963,True,False
17435,NSF,Tini Alloy Company,CA,50000.0,1992-07-01,1992,Other,UNKNOWN,artificial_intelligence,85.62949513939935,High,biotechnology,9.895681116134826,data_analytics,2.6143482055857814,1389,True,False
0091601,NSF,INTELLIGENT FIBER OPTIC SYSTEMS CORP,CA,500000.0,2001-07-01,2001,Other,UNKNOWN,artificial_intelligence,80.90164594386641,High,advanced_materials,5.826225336656879,biotechnology,5.443941217370575,1830,True,False
0109687,NSF,Fm Technologies Inc,VA,99999.0,2001-07-01,2001,Other,UNKNOWN,artificial_intelligence,76.30809108576307,High,biotechnology,14.254251247214553,semiconductors,6.718766049247299,1139,True,False
0712583,NSF,Xapio,UT,99999.0,2007-07-01,2007,Other,EO,artificial_intelligence,88.32937926166777,High,biotechnology,7.79573122131875,data_analytics,1.8308371158020174,1887,True,True
8178,NSF,"RADIATION MONITORING DEVICES, INC.",MA,40000.0,1986-07-01,1986,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0539180,NSF,SST,CA,100000.0,2006-07-01,2006,Other,EL,artificial_intelligence,82.58633076890632,High,biotechnology,7.053866951163686,advanced_materials,5.7032705890202084,1556,True,True
33547,NSF,"NEW LIGHT INDUSTRIES, LTD.",WA,100000.0,1998-07-01,1998,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0945604,NSF,Plextronics,PA,149992.0,2010-07-01,2010,Other,NM,artificial_intelligence,50.11118855352067,Medium,biotechnology,25.719457214515558,semiconductors,16.53604704278089,1068,True,True
27391,NSF,Db Environmental Laboratory In,FL,63426.0,1994-07-01,1994,Other,UNKNOWN,artificial_intelligence,87.23228005167866,High,biotechnology,6.80754102092959,data_analytics,3.7618536726168625,1567,True,False
0239151,NSF,BOSTON MICROSYSTEMS INC,MA,500000.0,2003-07-01,2003,Other,UNKNOWN,artificial_intelligence,65.75738504684595,Medium,advanced_materials,17.155634386530508,biotechnology,15.131316142439921,1888,True,False
5223,NSF,Energy Intl Inc,WA,40000.0,1987-07-01,1987,Other,UNKNOWN,artificial_intelligence,81.79923129866643,High,biotechnology,12.387863409399866,advanced_materials,2.5489902910353552,1572,True,False
21777,NSF,Biogel Technology,IN,49680.0,1993-07-01,1993,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
10664,NSF,Mccormick & Associates,CA,49701.0,1989-07-01,1989,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
1013145,NSF,StartUpHire,VA,148831.0,2010-07-01,2010,Other,IC,artificial_intelligence,81.5618976491266,High,biotechnology,12.526358900511248,data_analytics,4.0659217947142805,2609,True,True
0839783,NSF,Harmonic Devices Inc.,CA,100000.0,2009-07-01,2009,Other,BC,artificial_intelligence,84.90292842591631,High,biotechnology,7.965404102466679,data_analytics,3.327654087843158,2398,True,True
0213876,NSF,US Genomics,MA,171945.0,2002-07-01,2002,Other,UNKNOWN,biotechnology,49.257375598341866,Medium,artificial_intelligence,48.40783682224832,advanced_materials,1.0726756980813505,1217,True,False
11866,NSF,Spire Corporation,MA,238080.0,1992-07-01,1992,Other,UNKNOWN,artificial_intelligence,70.31196933393707,High,biotechnology,16.13141163107653,advanced_materials,11.59686867377812,823,True,False
35474,NSF,"Adherent Technologies, Inc.",NM,74974.0,1997-07-01,1997,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0810791,NSF,"ABQMR, INC.",NM,99729.0,2008-07-01,2008,Other,EO,artificial_intelligence,65.89819320010352,Medium,biotechnology,30.646727084970564,advanced_materials,1.712355821011233,1534,True,True
0419311,NSF,Freight Pipeline Company,MO,497506.0,2006-07-01,2006,Other,AM,artificial_intelligence,59.1655366848328,Medium,biotechnology,20.064342697413526,advanced_materials,18.217829103271814,861,True,True
